num	id	mass	px	py	pz	vx	vy	vz	phi	metals	tform	eps
45	33554476	6.47502E-10	0.147457	0.357012	0.426834	0.201694	-0.666512	0.331324	-0.0241734	0.0	0.0132112	4.0E-5
46	33554477	6.47535E-10	-0.325798	0.207347	-0.242625	0.861078	0.438236	0.450208	-0.0189218	0.0	0.0132544	4.0E-5
47	33554478	6.47535E-10	0.177363	0.342398	0.427617	-0.0283715	0.506956	-0.247416	-0.0276896	0.0	0.0132544	4.0E-5
48	33554479	6.47377E-10	-0.447134	-0.491848	-0.363256	0.370688	0.0390732	-0.296327	-0.0162571	0.0	0.0132975	4.0E-5
49	33554480	6.47377E-10	-0.316174	-0.0482841	-0.469101	-0.491407	-0.726315	0.208619	-0.00398592	0.0	0.0132975	4.0E-5
50	33554481	6.47377E-10	-0.361433	0.167786	-0.237901	0.181919	-0.0629149	0.695415	-0.0185002	0.0	0.0132975	4.0E-5
51	33554482	6.47377E-10	0.147104	0.357136	0.426717	0.244842	-0.951192	0.368722	-0.0240909	0.0	0.0132975	4.0E-5
52	33554483	6.46472E-10	-0.353876	0.144707	-0.212542	0.360059	1.26026	-0.487484	-0.0156106	0.0	0.0133406	4.0E-5
53	33554484	6.46472E-10	-0.361483	0.167941	-0.237858	0.294775	0.59188	0.706036	-0.0184784	0.0	0.0133406	4.0E-5
54	33554485	6.46472E-10	-0.360672	0.168428	-0.238216	0.496398	1.20891	0.475507	-0.0174342	0.0	0.0133406	4.0E-5
55	33554486	6.46472E-10	0.177137	0.342496	0.427938	-1.15048	-0.0349421	-0.480299	-0.0276286	0.0	0.0133406	4.0E-5
56	33554487	6.46472E-10	0.177258	0.342211	0.427798	0.0900002	0.282755	-0.338363	-0.0274747	0.0	0.0133406	4.0E-5
57	33554488	6.51577E-10	-0.287819	0.170754	-0.188973	-0.211148	0.015141	-0.966996	-0.0190155	0.0	0.0133837	4.0E-5
58	33554489	6.51577E-10	-0.31595	-0.0485736	-0.46931	-0.31155	-0.360219	-0.203758	-0.00384792	0.0	0.0133837	4.0E-5
59	33554490	6.51577E-10	-0.361439	0.167959	-0.237897	0.115201	0.622972	0.898372	-0.0185162	0.0	0.0133837	4.0E-5
60	33554491	6.51577E-10	-0.325793	0.207843	-0.242339	0.613337	0.0932442	1.04861	-0.0192949	0.0	0.0133837	4.0E-5
61	33554492	6.51577E-10	0.106569	0.35788	0.459838	-0.121424	0.160292	-0.858689	-0.0229029	0.0	0.0133837	4.0E-5
62	33554493	6.52297E-10	-0.441789	-0.484312	-0.366361	-0.52572	-0.635442	0.165495	-0.0169594	0.0	0.0134268	4.0E-5
63	33554494	6.52297E-10	0.402631	-0.406173	-0.297229	1.14488	-0.845981	0.652624	-0.00759511	0.0	0.0134268	4.0E-5
64	33554495	6.52297E-10	-0.309357	-0.0639761	-0.467345	-0.822655	0.333432	-0.213884	-0.00418347	0.0	0.0134268	4.0E-5
65	33554496	6.52297E-10	-0.460559	0.223857	0.138884	-0.31805	-0.735924	0.116949	-0.0122253	0.0	0.0134268	4.0E-5
66	33554497	6.52297E-10	-0.361792	0.167698	-0.237907	1.87407	1.06525	0.481569	-0.0182723	0.0	0.0134268	4.0E-5
67	33554498	6.5196E-10	-0.308418	-0.0642979	-0.468542	-0.774816	0.617573	0.262668	-0.00299025	0.0	0.0134483	4.0E-5
68	33554499	6.5196E-10	-0.316029	-0.0484066	-0.469188	-0.501972	-0.764462	0.198855	-0.00395147	0.0	0.0134483	4.0E-5
69	33554500	6.5196E-10	-0.142422	0.214484	0.0272264	0.273592	0.48883	0.149133	-0.00870106	0.0	0.0134483	4.0E-5
70	33554501	6.5196E-10	0.18107	0.479342	0.0256165	0.520527	-0.129863	0.908066	-0.00356837	0.0	0.0134483	4.0E-5
71	33554502	6.5196E-10	0.180425	0.481001	0.0262691	0.379768	-1.02576	0.878706	-0.00385965	0.0	0.0134483	4.0E-5
72	33554503	6.5196E-10	-0.21904	0.172504	-0.235842	-0.280496	0.884516	-0.152682	-0.014581	0.0	0.0134483	4.0E-5
73	33554504	6.5196E-10	-0.460774	0.223958	0.139021	-0.678207	-0.465607	0.157501	-0.0123344	0.0	0.0134483	4.0E-5
74	33554505	6.5196E-10	0.41328	-0.251233	-0.105973	0.253671	-0.659657	-0.288069	-0.004219	0.0	0.0134483	4.0E-5
75	33554506	6.5196E-10	0.325186	0.0320566	-0.418123	0.23405	-0.716808	0.226719	-0.00123103	0.0	0.0134483	4.0E-5
76	33554507	6.5196E-10	-0.122905	0.191024	0.0598215	-0.0190376	0.710411	-0.374842	-0.00794597	0.0	0.0134483	4.0E-5
77	33554508	6.5196E-10	0.393297	0.303161	0.0712715	-0.339928	0.337931	-0.0298004	-0.0180517	0.0	0.0134483	4.0E-5
78	33554509	6.5196E-10	-0.314087	0.293426	-0.17911	-0.348401	0.123204	-0.309768	-0.0161941	0.0	0.0134483	4.0E-5
79	33554510	6.5196E-10	-0.159059	0.249204	0.451699	0.951389	-0.149175	-0.0273635	-0.012388	0.0	0.0134483	4.0E-5
80	33554511	6.5196E-10	-0.0360983	0.101765	0.0498623	0.218403	0.682466	-0.148483	-0.00276062	0.0	0.0134483	4.0E-5
81	33554512	6.5196E-10	-0.354529	0.144855	-0.212592	0.725795	0.824698	-0.132917	-0.0151137	0.0	0.0134483	4.0E-5
82	33554513	6.5196E-10	-0.422127	-0.483936	0.454327	-0.391062	-0.529464	1.27875	-0.0117034	0.0	0.0134483	4.0E-5
83	33554514	6.5196E-10	0.147462	0.357436	0.427503	-0.263445	-0.801913	-0.279968	-0.0240476	0.0	0.0134483	4.0E-5
84	33554515	6.5196E-10	0.144987	0.347505	0.427911	0.108776	-0.197944	0.130531	-0.0238526	0.0	0.0134483	4.0E-5
85	33554516	6.5196E-10	-0.326219	0.207521	-0.241968	0.0404074	0.3346	1.03506	-0.019358	0.0	0.0134483	4.0E-5
86	33554517	6.5196E-10	-0.328777	0.206347	-0.24049	0.446512	0.896056	0.13347	-0.0179912	0.0	0.0134483	4.0E-5
87	33554518	6.5196E-10	0.113881	0.31688	0.223464	0.259704	-0.202072	0.191451	-0.0190526	0.0	0.0134483	4.0E-5
88	33554519	6.53262E-10	0.402238	-0.406447	-0.297208	0.641142	-0.526449	0.356165	-0.00744618	0.0	0.0134699	4.0E-5
89	33554520	6.53262E-10	-0.316006	-0.0533934	-0.467817	-0.411114	-0.0713009	0.198764	-0.00431166	0.0	0.0134699	4.0E-5
90	33554521	6.53262E-10	-0.315953	-0.0485331	-0.469333	-0.355397	-0.370588	-0.156457	-0.00385924	0.0	0.0134699	4.0E-5
91	33554522	6.53262E-10	-0.497709	-0.303228	0.242208	-0.432838	-0.715821	0.0346251	-7.50927E-4	0.0	0.0134699	4.0E-5
92	33554523	6.53262E-10	0.117731	-0.0492526	0.0567772	-0.122049	0.122925	0.484094	7.04903E-4	0.0	0.0134699	4.0E-5
93	33554524	6.53262E-10	0.273677	0.136752	-0.0866932	-0.471582	0.438641	0.0526761	-0.00850659	0.0	0.0134699	4.0E-5
94	33554525	6.53262E-10	-0.158679	0.248821	0.451946	-0.252035	0.573215	-0.742437	-0.0128262	0.0	0.0134699	4.0E-5
95	33554526	6.53262E-10	-0.361545	0.167884	-0.238017	0.263454	0.111918	0.824753	-0.0185929	0.0	0.0134699	4.0E-5
